33,3,3,3,3,3,3,3,3,3
33,3,3,3,3,3,3,3,3,3
33,3,3,3,3,3,3,3,3,3
33,3,3,3,3,3,3,3,3,3
33,3,3,3,3,3,3,3,3,3
33,3,3,3,3,3,3,3,3,3
33,3,3,3,3,3,3,3,3,3
266,25,27,27,27,27,27,27,27,27
266,25,27,27,27,27,27,27,27,27
266,25,27,27,27,27,27,27,27,27
266,25,27,27,27,27,27,27,27,27
266,25,27,27,27,27,27,27,27,27
266,25,27,27,27,27,27,27,27,27
266,25,27,27,27,27,27,27,27,27
128,64,192,192,192,192,192,192,192,192
128,64,192,192,192,192,192,192,192,192
128,64,192,192,192,192,192,192,192,192
128,64,192,192,192,192,192,192,192,192
128,64,192,192,192,192,192,192,192,192
128,64,192,192,192,192,192,192,192,192
128,64,192,192,192,192,192,192,192,192
2,1,1,3,3,3,3,3,3,3
2,1,1,3,3,3,3,3,3,3
2,1,1,3,3,3,3,3,3,3
2,1,1,3,3,3,3,3,3,3
2,1,1,3,3,3,3,3,3,3
2,1,1,3,3,3,3,3,3,3
18,15,11,27,28,28,28,28,28,28
18,15,11,27,28,28,28,28,28,28
18,15,11,27,28,28,28,28,28,28
18,15,11,27,28,28,28,28,28,28
18,15,11,27,28,28,28,28,28,28
256,0,128,192,192,192,192,192,192,192
256,0,128,192,192,192,192,192,192,192
256,0,128,192,192,192,192,192,192,192
256,0,128,192,192,192,192,192,192,192
256,0,128,192,192,192,192,192,192,192
256,0,128,192,192,192,192,192,192,192
